month,frequency
2007-11,<1
2007-12,<1
2008-01,<1
2008-02,1
2008-03,1
2008-04,11
2008-05,10
2008-06,1
2008-07,<1
2008-08,<1
2008-09,<1
2008-10,<1
2008-11,<1
2008-12,<1
2009-01,<1
2009-02,1
2009-03,1
2009-04,13
2009-05,13
2009-06,1
2009-07,<1
2009-08,<1
2009-09,<1
2009-10,<1
2009-11,<1
2009-12,<1
2010-01,1
2010-02,1
2010-03,20
2010-04,18
2010-05,1
2010-06,1
2010-07,<1
2010-08,<1
2010-09,1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,3
2011-02,1
2011-03,2
2011-04,20
2011-05,14
2011-06,1
2011-07,<1
2011-08,<1
2011-09,<1
2011-10,<1
2011-11,<1
2011-12,<1
2012-01,<1
2012-02,1
2012-03,2
2012-04,24
2012-05,21
2012-06,1
2012-07,<1
2012-08,<1
2012-09,<1
2012-10,<1
2012-11,<1
2012-12,<1
2013-01,<1
2013-02,1
2013-03,2
2013-04,28
2013-05,20
2013-06,1
2013-07,<1
2013-08,<1
2013-09,<1
2013-10,<1
2013-11,<1
2013-12,<1
2014-01,1
2014-02,3
2014-03,1
2014-04,13
2014-05,19
2014-06,2
2014-07,<1
2014-08,<1
2014-09,<1
2014-10,<1
2014-11,<1
2014-12,<1
2015-01,<1
2015-02,1
2015-03,2
2015-04,18
2015-05,14
2015-06,1
2015-07,<1
2015-08,<1
2015-09,<1
2015-10,<1
2015-11,<1
2015-12,1
2016-01,<1
2016-02,2
2016-03,2
2016-04,17
2016-05,18
2016-06,1
2016-07,<1
2016-08,<1
2016-09,<1
2016-10,<1
2016-11,<1
2016-12,<1
2017-01,<1
2017-02,2
2017-03,2
2017-04,25
2017-05,18
2017-06,1
2017-07,<1
2017-08,<1
2017-09,<1
2017-10,<1
2017-11,<1
2017-12,<1
2018-01,4
2018-02,1
2018-03,3
2018-04,31
2018-05,32
2018-06,1
2018-07,<1
2018-08,<1
2018-09,<1
2018-10,<1
2018-11,<1
2018-12,1
2019-01,1
2019-02,1
2019-03,17
2019-04,51
2019-05,21
2019-06,1
2019-07,1
2019-08,<1
2019-09,<1
2019-10,<1
2019-11,1
2019-12,2
2020-01,1
2020-02,1
2020-03,2
2020-04,1
2020-05,<1
2020-06,<1
2020-07,1
2020-08,1
2020-09,34
2020-10,100
2020-11,31
2020-12,1
2021-01,1
2021-02,3
2021-03,2
2021-04,74
2021-05,16
2021-06,1
2021-07,1
2021-08,1
2021-09,34
2021-10,49
2021-11,2
2021-12,1
2022-01,1
2022-02,6
2022-03,22
2022-04,93
2022-05,82
2022-06,2
2022-07,1
2022-08,1
2022-09,1
2022-10,1
